,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/BBCNews/status/1820469959593545959#m,'You have to put in 110% to make a living' - retailer https://bbc.in/4ccAFuM,"Aug 5, 2024 · 2:40 PM UTC",22,18
1,https://twitter.com/BBCNews/status/1820464639135580306#m,"'When people couldn't find us, GRM Daily was there' https://bbc.in/3WwQkiS","Aug 5, 2024 · 2:19 PM UTC",23,18
2,https://twitter.com/BBCNews/status/1820463029252653091#m,Belfast violence: What happened at the weekend? https://bbc.in/4dqvtEC,"Aug 5, 2024 · 2:13 PM UTC",17,0
3,https://twitter.com/BBCNews/status/1820461212905144769#m,Scotland net zero and energy secretary Màiri McAllan gives birth to 'beautiful boy' https://bbc.in/3SCuDwN,"Aug 5, 2024 · 2:05 PM UTC",44,39
4,https://twitter.com/BBCBreaking/status/1820456724551053776#m,US markets tumble amid global sell-off as fears grow over economic slowdown in world's largest economy   Follow live https://bbc.in/3MdvGjb,"Aug 5, 2024 · 1:48 PM UTC",390,114
5,https://twitter.com/BBCNews/status/1820456517046353982#m,Council leader 'livid' with new housing targets https://bbc.in/3WT5DE1,"Aug 5, 2024 · 1:47 PM UTC",25,27
6,https://twitter.com/BBCNews/status/1820455158507053560#m,Beach cages to help protect threatened birds https://bbc.in/3WRJ1Uq,"Aug 5, 2024 · 1:41 PM UTC",32,7
7,https://twitter.com/BBCNews/status/1820454210896277886#m,Charity worker attacks neighbours with cattle prod https://bbc.in/46APXZl,"Aug 5, 2024 · 1:38 PM UTC",20,18
8,https://twitter.com/BBCNews/status/1820452595875434523#m,Ireland gymnast Rhys McClenaghan says he didn't know whether he had done enough for gold https://bbc.in/3LSeteN,"Aug 5, 2024 · 1:31 PM UTC",70,9
9,https://twitter.com/BBCNews/status/1820451273042178214#m,"'I now need gold in LA, but first I'm going to see Taylor Swift' https://bbc.in/3Ww3a0F","Aug 5, 2024 · 1:26 PM UTC",44,6
10,https://twitter.com/BBCNews/status/1820450448353984947#m,Top five stories from Paris Olympics day 10 https://bbc.in/4dsUGhR,"Aug 5, 2024 · 1:23 PM UTC",19,2
11,https://twitter.com/BBCNews/status/1820450440833650996#m,School pays tribute to boy who drowned on trip https://bbc.in/3Ac13HV,"Aug 5, 2024 · 1:23 PM UTC",18,11
12,https://twitter.com/BBCNews/status/1820449529839120728#m,Murdered teen's mum calls for mindfulness lessons https://bbc.in/3WThoJt,"Aug 5, 2024 · 1:19 PM UTC",41,19
13,https://twitter.com/BBCNews/status/1820448833966342149#m,Passengers evacuated from bus fire https://bbc.in/3LRatuX,"Aug 5, 2024 · 1:16 PM UTC",12,1
14,https://twitter.com/BBCNews/status/1820448164039549414#m,Cost of a cuppa complaint letter stirs cafe owners https://bbc.in/3SChvaP,"Aug 5, 2024 · 1:13 PM UTC",17,17
15,https://twitter.com/BBCNews/status/1820447607052804488#m,Police officer cleared over pedestrian crash death https://bbc.in/4fuJ0wN,"Aug 5, 2024 · 1:11 PM UTC",15,14
16,https://twitter.com/BBCNews/status/1820443667422720143#m,What is blue-green algae and why is it a problem? https://bbc.in/3WRi2Io,"Aug 5, 2024 · 12:56 PM UTC",31,12
17,https://twitter.com/BBCNews/status/1820443151934292149#m,Farmer calls out customers stealing strawberries https://bbc.in/4dvsjPQ,"Aug 5, 2024 · 12:54 PM UTC",71,42
18,https://twitter.com/BBCNews/status/1820441822801306001#m,"Boy, 8, dies and three injured in house fire https://bbc.in/46BaY5O","Aug 5, 2024 · 12:48 PM UTC",28,11
19,https://twitter.com/BBCBreaking/status/1820436374593343495#m,"UK Prime Minister Sir Keir Starmer says ""an army"" of specialist police officers are on standby to tackle violent disorder   Follow live https://bbc.in/3yrsuwP","Aug 5, 2024 · 12:27 PM UTC",544,339
20,https://twitter.com/BBCPolitics/status/1820431926022246445#m,"""This is not protest, it is pure violence, and we will not tolerate attacks on mosques or our Muslim communities,"" Keir Starmer says  ""The full force of the law will be visited on all those who are identified as having taken part,"" the PM adds  Follow live https://bbc.in/3LQ4LK3","Aug 5, 2024 · 12:09 PM UTC",967,531
21,https://twitter.com/BBCNews/status/1820430751407469016#m,Possible takeover of Scottish engineering giant collapses https://bbc.in/4d9QSlU,"Aug 5, 2024 · 12:04 PM UTC",21,11
22,https://twitter.com/BBCNews/status/1820430708554215503#m,Mourners 'heartbroken' over flooded graves https://bbc.in/3yeAiCg,"Aug 5, 2024 · 12:04 PM UTC",26,18
23,https://twitter.com/BBCPolitics/status/1820428053027131610#m,"""We saw a violent far-right mob come down to attack 240 of the most vulnerable people in our society""  Mayor of South Yorkshire Andy Coppard says he's ""horrified"" by the violence seen in Rotherham  Follow live https://bbc.in/3LQ4LK3","Aug 5, 2024 · 11:54 AM UTC",192,71
