,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/nytimes/status/1593683578684047365#m,"🧵 Here's a guide to how you can keep up with The New York Times, on and off Twitter.  @nytimes shares news to help you understand the world.  @nytopinion offers crucial perspectives on the issues that matter to you.","Nov 18, 2022 · 7:12 PM UTC",8404,27163
1,https://twitter.com/nytimes/status/1820492307629531240#m,From @TheAthletic: NBC's track and field play-by-play announcer Leigh Differ apologized for getting the initial call of the men's 100m final wrong. https://nyti.ms/4dwluOk,"Aug 5, 2024 · 4:09 PM UTC",19,6
2,https://twitter.com/nytimes/status/1820490039781892499#m,"Olympic gymnastics would be more enjoyable on TV and in the arena if choreography were less of an afterthought, our critic writes. https://nyti.ms/3YstGL6","Aug 5, 2024 · 4:00 PM UTC",23,12
3,https://twitter.com/nytimes/status/1820489180880810050#m,"From @TheAthletic: Last summer, Noah Lyles took issue with the fact that NBA champions are referred to as ""world champions.""   “I still don’t agree with the comment,” Devin Booker said, but he still congratulated Lyles on his thrilling 100-meter win. https://nyti.ms/3A5VlHu","Aug 5, 2024 · 3:56 PM UTC",53,17
4,https://twitter.com/nytimes/status/1820485445374857553#m,"From @TheAthletic: On the first day of cycling at the #OlympicGames, the Brits have just set a world record in qualifying for the women's team sprint. It's been more than 11 years since Britain won gold in this event. https://nyti.ms/4duy6Fz","Aug 5, 2024 · 3:42 PM UTC",38,13
5,https://twitter.com/nytimes/status/1820484949058674778#m,"Jordan Chiles of the U.S. won bronze in the women's gymnastics floor exercise on Monday after the judges changed her score following an inquiry. Simone Biles won silver in the event, and it was her fourth medal of the Paris Games. https://nyti.ms/4dcsHmE","Aug 5, 2024 · 3:40 PM UTC",232,18
6,https://twitter.com/nytimes/status/1820482444715266249#m,"Pope Francis has announced the next leader for the Catholic Archdiocese of Boston would be Bishop Richard G. Henning. He will succeed Cardinal Seán P. O’Malley, one of the pope’s key allies and the leader of the Vatican’s office on sexual abuse. https://nyti.ms/3A8RvNT","Aug 5, 2024 · 3:30 PM UTC",42,16
7,https://twitter.com/nytimes/status/1820480648018076040#m,"Rebeca Andrade of Brazil won gold in the women's gymnastics floor exercise on Monday, and Simone Biles of the U.S. won silver. “I have so much respect for her,” Biles said of Andrade in an interview following the event. https://nyti.ms/4ccAHTE","Aug 5, 2024 · 3:23 PM UTC",602,23
8,https://twitter.com/nytimes/status/1820479903147368586#m,Flava Flav has become a self-appointed hype man and benefactor to the U.S. women’s water polo team at the Paris Olympics. He plans to keep the poolside party going into 2028. https://nyti.ms/3YE5gOC,"Aug 5, 2024 · 3:20 PM UTC",158,17
9,https://twitter.com/nytimes/status/1820474933983469817#m,"In Missouri, Representative Cori Bush — the ultraliberal congresswoman and member of the “squad” — is facing a primary on Tuesday against Wesley Bell, a progressive prosecutor whose campaign has been financed by pro-Israel groups. https://nyti.ms/3LTrHbd","Aug 5, 2024 · 3:00 PM UTC",46,28
10,https://twitter.com/nytimes/status/1820472709865771030#m,From @TheAthletic: Noah Lyles has unmatched top-end speed. But it was his work before he left for Paris with a 75-year-old former Olympian that proved to be the decisive difference in reaching sporting immortality. https://nyti.ms/4cdEpMJ,"Aug 5, 2024 · 2:51 PM UTC",98,18
11,https://twitter.com/nytimes/status/1820469824679551147#m,"A 5-year-old boy was killed at a professional baseball game in Maryland on Friday after a bounce house was picked up by a wind gust while children were inside of it, the authorities said. https://nyti.ms/3SBf1cQ","Aug 5, 2024 · 2:40 PM UTC",35,18
12,https://twitter.com/nytimes/status/1820460022544867517#m,Breaking News: The S&P 500 fell sharply in early trading after signs of a slowing U.S. economy set off a global rout. Follow live updates. https://nyti.ms/3LVwpVX,"Aug 5, 2024 · 2:01 PM UTC",99,55
13,https://twitter.com/nytimes/status/1820454270904238378#m,Simone Biles finished what could be her last Olympics with a silver in the women's gymnastics floor exercise. Rebeca Andrade of Brazil won gold. https://nyti.ms/3LSz7vh,"Aug 5, 2024 · 1:38 PM UTC",316,30
14,https://twitter.com/nytimes/status/1820452250319225323#m,Who will be Kamala Harris's running mate? She has interviewed her top contenders and is expected to announce her choice by Tuesday morning. Here's what else to know. https://nyti.ms/3WREX6C,"Aug 5, 2024 · 1:30 PM UTC",79,42
15,https://twitter.com/nytimes/status/1820447176901709869#m,Noah Lyles of the U.S. won the men's 100-meter Olympic gold by a fraction of a second. Here's how. https://nyti.ms/3yr1Tjw,"Aug 5, 2024 · 1:10 PM UTC",95,19
16,https://twitter.com/nytimes/status/1820443443501453346#m,"Elon Musk has revived a lawsuit against OpenAI, the maker of the A.I. chatbot ChatGPT, refueling a six-year-old feud that began with a power struggle at the San Francisco start-up. https://nyti.ms/3A8t8Qh","Aug 5, 2024 · 12:55 PM UTC",55,14
